genes,baseID,symbol,average_foldchange,HNSC,LIHC,KIRP,Description,Protein Functions (ChatGPT),Disease & Drugs (ChatGPT),Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Drug (DrugBank),"Canonical Pathways
","Hallmark Gene Sets
"
ENSG00000104164.12,ENSG00000104164,BLOC1S6,-0.669544113,-0.704879699,-0.679685863,-0.624066777,biogenesis of lysosomal organelles complex 1 subunit 6,"BLOC1S6 is a gene that is involved in intracellular vesicle trafficking and interacts with Syntaxin 13 to mediate intracellular membrane fusion. Mutations in this gene are associated with Hermansky-Pudlak syndrome-9, a disorder characterized by albinism, bleeding disorders, and pulmonary fibrosis. Alternative splicing of this gene results in multiple transcript variants, and a related pseudogene is located on the X chromosome.","Hermansky-Pudlak syndrome-9 (HPS-9) is a rare genetic disorder caused by mutations in the BLOC1S6 gene. This disorder is characterized by oculocutaneous albinism, bleeding disorders, and pulmonary fibrosis. There is currently no cure for HPS-9, and treatment is mainly supportive. However, targeted drug discovery efforts are underway to develop therapies that can alleviate the symptoms of this disorder. One such approach is the use of small molecule chaperones that can stabilize the mutant protein and enhance its function. Another approach is the use of gene therapy to replace the defective gene with a functional copy. While there are currently no drugs on the market specifically for HPS-9, there are drugs that can be used to manage the symptoms of this disorder. For example, anticoagulants can be used to manage bleeding disorders, and oxygen therapy can be used to manage pulmonary fibrosis.",GO:0002936 bradykinin biosynthetic process;GO:0033484 intracellular nitric oxide homeostasis;GO:0033299 secretion of lysosomal enzymes,,Disease related genes; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of amino acid metabolism; Predicted intracellular proteins,,,,
ENSG00000138760.10,ENSG00000138760,SCARB2,-0.669246263,-0.984494717,-0.769192134,-0.254051936,scavenger receptor class B member 2,"SCARB2 is a glycoprotein that is primarily located in the membranes of lysosomes and endosomes. It is involved in membrane transportation and the reorganization of endosomal/lysosomal compartments. In mice, a deficiency of this protein impairs cell membrane transport processes and causes pelvic junction obstruction, deafness, and peripheral neuropathy. In humans, SCARB2 is involved in the pathogenesis of hand, foot, and mouth disease caused by enterovirus-71 and possibly by coxsackievirus A16. Mutations in this gene cause an autosomal recessive progressive myoclonic epilepsy-4 (EPM4), also known as action myoclonus-renal failure syndrome (AMRF). Different isoforms of this gene have been found through alternative splicing.","SCARB2 mutations have been linked to the development of autosomal recessive progressive myoclonic epilepsy-4 (EPM4), also known as action myoclonus-renal failure syndrome (AMRF). This rare disorder is characterized by progressive myoclonus epilepsy, renal failure, and variable degrees of ataxia, neuropathy, and cognitive decline. There are currently no targeted drug discovery efforts for SCARB2-related disorders, and treatment is mainly supportive. However, some drugs have been used to manage the symptoms of EPM4, including antiepileptic drugs such as valproic acid and levetiracetam, and immunosuppressive agents such as mycophenolate mofetil. Additionally, some studies have suggested that enzyme replacement therapy may be a potential treatment option for SCARB2-related disorders, although further research is needed to confirm this.",GO:1904978 regulation of endosome organization;GO:2000752 regulation of glucosylceramide catabolic process;GO:0015917 aminophospholipid transport,,Disease related genes; Human disease related genes:Nervous system diseases:Epilepsy; Potential drug targets; Transporters,Cytosol (Approved),,,
ENSG00000119787.14,ENSG00000119787,ATL2,-0.668938438,-1.079365803,-0.595836452,-0.331613059,atlastin GTPase 2,"ATL2, also known as atlastin GTPase 2, is a human gene that plays a role in Golgi organization, endoplasmic reticulum tubular network membrane organization, and protein homooligomerization. It is located in the endoplasmic reticulum tubular network membrane and is an integral component of the membrane. The gene enables identical protein binding activity, which is important for proper cellular function. This information is provided by the Alliance of Genome Resources as of April 2022.","Mutations in the ATL2 gene have been associated with several neurological disorders, including hereditary spastic paraplegia (HSP) and Charcot-Marie-Tooth disease (CMT). HSP is a group of inherited disorders characterized by progressive weakness and spasticity of the lower limbs, while CMT is a group of inherited disorders that affect the peripheral nerves, leading to muscle weakness and wasting. 

Targeted drug discovery efforts for ATL2 are currently underway, with a focus on developing small molecule inhibitors that can modulate the activity of the protein. One potential approach is to target the GTPase activity of ATL2, which is essential for its function in membrane fusion and tubulation. 

There are currently no drugs on the market that specifically target ATL2, but there are several drugs that have been approved for the treatment of HSP and CMT. These include baclofen, a muscle relaxant that can help alleviate spasticity in HSP patients, and ascorbic acid, which has been shown to improve nerve function in CMT patients. Other drugs, such as gabapentin and pregabalin, may also be used to manage symptoms of these disorders. However, there is still a need for more targeted therapies that can address the underlying molecular mechanisms of these diseases.",GO:1990809 endoplasmic reticulum tubular network membrane organization;GO:0090158 endoplasmic reticulum membrane organization;GO:0071786 endoplasmic reticulum tubular network organization,,Predicted intracellular proteins; Transporters,Endoplasmic reticulum (Supported),,,(M5905)HALLMARK ADIPOGENESIS
ENSG00000165650.12,ENSG00000165650,PDZD8,-0.668777654,-1.050547349,-0.845023375,-0.110762238,PDZ domain containing 8,"PDZD8 is a human gene that encodes a protein containing a PDZ domain, which is predicted to enable lipid and metal ion binding activities. The protein is involved in various biological processes, including the regulation of mitochondrial calcium ion homeostasis, mitochondrion-endoplasmic reticulum membrane tethering, and cell morphogenesis. PDZD8 is located in the endoplasmic reticulum membrane and the mitochondria-associated endoplasmic reticulum membrane.","There is limited information available on the disease implications of PDZD8. However, recent studies have suggested that mutations in PDZD8 may be associated with neurodegenerative disorders such as Parkinson's disease and Alzheimer's disease. Targeted drug discovery efforts for PDZD8 are currently underway, with a focus on identifying small molecule inhibitors that can modulate its activity and potentially treat these diseases. However, there are currently no drugs on the market that specifically target PDZD8. Nonetheless, there are several drugs that target related proteins involved in mitochondrial calcium ion homeostasis and endoplasmic reticulum stress, such as dantrolene and tauroursodeoxycholic acid, which have been approved for the treatment of muscle spasticity and primary biliary cholangitis, respectively.",GO:1990456 mitochondrion-endoplasmic reticulum membrane tethering;GO:0051560 mitochondrial calcium ion homeostasis;GO:0140056 organelle localization by membrane tethering,,Transporters:Transporter channels and pores; Predicted intracellular proteins,Nucleoli fibrillar center (Approved); Additional: Plasma membrane,,,
ENSG00000131653.13,ENSG00000131653,TRAF7,-0.668719796,-0.905494983,-1.001820552,-0.098843852,TNF receptor associated factor 7,"TRAF7 (TNF receptor associated factor 7) is a gene that encodes a protein involved in signal transduction for members of the TNF receptor superfamily. TNF receptor-associated factors, including TRAF7, contain a cysteine/histidine-rich region with zinc RING and/or zinc finger motifs, a coiled-coil motif, and a homologous region that defines the TRAF family, the TRAF domain. The TRAF domain is involved in self-association and receptor binding. TRAF7 is important in regulating cell growth and differentiation, and mutations in this gene have been associated with developmental disorders and cancer.","Mutations in the TRAF7 gene have been associated with a range of developmental disorders, including intellectual disability, craniofacial abnormalities, and skeletal anomalies. Additionally, TRAF7 mutations have been identified in several types of cancer, including meningiomas, schwannomas, and gliomas. Targeted drug discovery efforts for TRAF7-related cancers are still in the early stages, but preclinical studies have shown promising results with inhibitors of the NF-?B pathway, which is downstream of TRAF7 signaling. One example of a successful drug targeting the TNF receptor superfamily is etanercept, which is used to treat autoimmune diseases such as rheumatoid arthritis and psoriasis by blocking TNF signaling. However, etanercept is not specific to TRAF7 and is not currently approved for cancer treatment.",GO:0035519 protein K29-linked ubiquitination;GO:0043525 positive regulation of neuron apoptotic process;GO:2000060 positive regulation of ubiquitin-dependent protein catabolic process,,"Predicted intracellular proteins; Cancer-related genes; ENZYME proteins:Transferases; Human disease related genes:Cancers:Cancers of eye, brain, and central nervous system; Potential drug targets; Disease related genes; Enzymes",Vesicles (Supported),,,
ENSG00000137776.17,ENSG00000137776,SLTM,-0.668596342,-0.837124958,-0.717582682,-0.451081384,SAFB like transcription modulator,"SLTM, or SAFB like transcription modulator, is a human gene that is involved in regulating mRNA processing and transcription by RNA polymerase II. It enables RNA binding activity and is located in the nuclear body. The gene's function is predicted to be important in controlling gene expression and may have implications in various biological processes.","There is limited information available on the disease implications of SLTM. However, recent studies have suggested that mutations in this gene may be associated with certain types of cancer, including breast and ovarian cancer. Targeted drug discovery efforts for SLTM are still in the early stages, but there is potential for the development of drugs that target this gene to treat cancer and other diseases. Currently, there are no drugs on the market that specifically target SLTM, but there are several drugs that target related genes involved in mRNA processing and transcription, such as CDK inhibitors and RNA polymerase inhibitors. Examples of successful drugs in this category include Palbociclib, a CDK4/6 inhibitor used to treat breast cancer, and Actinomycin D, an RNA polymerase inhibitor used to treat various types of cancer.",GO:0050684 regulation of mRNA processing;GO:1903311 regulation of mRNA metabolic process;GO:0006915 apoptotic process,,Predicted intracellular proteins,Nuclear bodies;Nucleoplasm (Enhanced),,,
ENSG00000077380.16,ENSG00000077380,DYNC1I2,-0.668546787,-0.942478116,-0.786840675,-0.276321568,dynein cytoplasmic 1 intermediate chain 2,"DYNC1I2 is a gene that encodes a non-catalytic component of the cytoplasmic dynein 1 complex, which is responsible for transporting organelles and vesicles along microtubules in a retrograde manner. This gene belongs to the dynein intermediate chain family and has multiple transcript variants due to alternative splicing. A pseudogene of this gene is also present on chromosome 10.","Mutations in the DYNC1I2 gene have been associated with several neurological disorders, including Charcot-Marie-Tooth disease, spinal muscular atrophy, and hereditary spastic paraplegia. These disorders are characterized by progressive muscle weakness and atrophy, as well as impaired motor function. Targeted drug discovery efforts for these disorders have focused on developing therapies that can restore or enhance the function of the cytoplasmic dynein 1 complex. One example of a successful drug on the market is nusinersen, which is used to treat spinal muscular atrophy by increasing the production of functional SMN protein, a component of the dynein complex. Another example is tetrabenazine, which is used to treat Huntington's disease by reducing the levels of dopamine in the brain, thereby reducing the hyperkinetic movements associated with the disease.",GO:0010970 transport along microtubule;GO:0030705 cytoskeleton-dependent intracellular transport;GO:0099111 microtubule-based transport,,Disease related genes; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins,Centrosome;Cytosol;Flagellar centriole;Microtubules;Mid piece;Principal piece (Approved); Additional: End piece,,,
ENSG00000033100.16,ENSG00000033100,CHPF2,-0.668202582,-1.369727093,-0.568551167,-0.066329485,chondroitin polymerizing factor 2,"The human gene CHPF2, also known as chondroitin polymerizing factor 2, is predicted to have the ability to enable glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity. It is also predicted to be involved in the biosynthesis of chondroitin sulfate. CHPF2 is located in the membrane. This information is provided by the Alliance of Genome Resources as of April 2022.","There is limited information available on the disease implications of CHPF2. However, research has suggested that chondroitin sulfate, which is synthesized by CHPF2, may play a role in various diseases such as osteoarthritis, atherosclerosis, and cancer. Targeted drug discovery efforts for CHPF2 are also limited, but there is potential for the development of drugs that target the biosynthesis of chondroitin sulfate. Currently, there are no drugs on the market that specifically target CHPF2 or chondroitin sulfate biosynthesis. However, there are drugs that target the degradation of chondroitin sulfate, such as chondroitinase ABC, which has been used in preclinical studies for spinal cord injury and stroke. Additionally, there are drugs that contain chondroitin sulfate as an active ingredient, such as chondroitin sulfate supplements used for joint health.",GO:0030206 chondroitin sulfate biosynthetic process;GO:0050650 chondroitin sulfate proteoglycan biosynthetic process;GO:0030204 chondroitin sulfate metabolic process,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Transferases,Cytosol;Nucleoplasm (Approved),,,(M5937)HALLMARK GLYCOLYSIS
ENSG00000001629.10,ENSG00000001629,ANKIB1,-0.667943125,-1.160387939,-0.797033889,-0.046407546,ankyrin repeat and IBR domain containing 1,"ANKIB1 is a human gene that encodes a protein containing ankyrin repeat and IBR domains. It is predicted to have ubiquitin conjugating enzyme binding activity and ubiquitin protein ligase activity, and to be involved in positive regulation of proteasomal ubiquitin-dependent protein catabolic process, protein polyubiquitination, and ubiquitin-dependent protein catabolic process. ANKIB1 is also predicted to be part of a ubiquitin ligase complex and to be active in the cytoplasm.","Unfortunately, there is currently limited information available on the disease implications and targeted drug discovery efforts for ANKIB1. As of now, there are no known drugs on the market that specifically target ANKIB1. However, research on the protein's role in ubiquitin-dependent protein catabolic processes may have implications for diseases related to protein degradation, such as cancer and neurodegenerative disorders. Further research on ANKIB1 and its potential as a therapeutic target may lead to the development of new drugs in the future.",GO:0006511 ubiquitin-dependent protein catabolic process;GO:0019941 modification-dependent protein catabolic process;GO:0043632 modification-dependent macromolecule catabolic process,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Transferases,Cytosol;Plasma membrane (Supported),,,
ENSG00000166037.11,ENSG00000166037,CEP57,-0.667763677,-0.853467505,-0.868155605,-0.28166792,centrosomal protein 57,"CEP57 is a gene that encodes a cytoplasmic protein called Translokin, which is crucial for maintaining correct chromosomal number during cell division. This protein localizes to the centrosome and has a function in microtubular stabilization. The N-terminal half of this protein is required for its centrosome localization and for its multimerization, and the C-terminal half is required for nucleating, bundling and anchoring microtubules to the centrosomes. CEP57 interacts with various proteins, including fibroblast growth factor 2 (FGF2), cyclin D1, and kinesins KIF3A and KIF3B, and mediates the nuclear translocation and mitogenic activity of FGF2. Mutations in this gene cause mosaic variegated aneuploidy syndrome, a rare autosomal recessive disorder.","Mosaic variegated aneuploidy syndrome (MVA) is a rare autosomal recessive disorder caused by mutations in the CEP57 gene. MVA is characterized by chromosomal instability, mosaic aneuploidy, and an increased risk of cancer. There is currently no cure for MVA, and treatment is mainly supportive. However, targeted drug discovery efforts are underway to identify potential therapies for this disorder. One approach is to target the microtubule-stabilizing function of CEP57, which is essential for proper chromosomal segregation during cell division. Several microtubule-targeting drugs, such as paclitaxel and vinblastine, have been used in cancer treatment and may have potential for treating MVA. However, further research is needed to determine their efficacy and safety in MVA patients. Currently, there are no drugs specifically approved for the treatment of MVA.",GO:0008543 fibroblast growth factor receptor signaling pathway;GO:0044344 cellular response to fibroblast growth factor stimulus;GO:0071774 response to fibroblast growth factor,,Disease related genes; Human disease related genes:Other congenital disorders:Chromosomal abnormalities; Predicted intracellular proteins,Centrosome;Cytosol (Supported); Additional: Centriolar satellite,,,(M5893)HALLMARK MITOTIC SPINDLE
ENSG00000132952.12,ENSG00000132952,USPL1,-0.667665225,-0.886072627,-0.712787392,-0.404135657,ubiquitin specific peptidase like 1,"USPL1 is a human gene that encodes for a protein called ubiquitin specific peptidase like 1. This protein has the ability to bind to SUMO (small ubiquitin-like modifier) and also has SUMO-specific isopeptidase activity. It plays a role in various biological processes such as Cajal body organization, protein desumoylation, and snRNA transcription. USPL1 is located in the Cajal body, a subnuclear structure involved in the biogenesis of small nuclear ribonucleoproteins (snRNPs) and telomerase. The function of USPL1 is still being studied, but it is believed to have important roles in regulating cellular processes and maintaining cellular homeostasis.","There is limited information available on the disease implications of USPL1. However, recent studies have suggested that dysregulation of USPL1 expression may be associated with certain types of cancer, including breast cancer and hepatocellular carcinoma. Targeted drug discovery efforts for USPL1 are still in the early stages, but there is potential for the development of drugs that target the protein's SUMO-specific isopeptidase activity. Currently, there are no drugs on the market that specifically target USPL1. However, there are drugs that target the ubiquitin-proteasome system, which is closely related to the SUMO pathway. Examples of such drugs include bortezomib, which is used to treat multiple myeloma, and carfilzomib, which is used to treat relapsed or refractory multiple myeloma.",GO:0030576 Cajal body organization;GO:0016926 protein desumoylation;GO:0009301 snRNA transcription,,Peptidases:Cysteine-type peptidases; Enzymes; Predicted intracellular proteins,,,,
ENSG00000111011.18,ENSG00000111011,RSRC2,-0.666429761,-0.722086873,-0.885006566,-0.392195844,arginine and serine rich coiled-coil 2,"RSRC2, or arginine and serine rich coiled-coil 2, is a human gene that encodes a protein involved in RNA binding activity. The protein contains regions rich in arginine and serine, as well as a coiled-coil structure. The exact function of RSRC2 is not fully understood, but it is believed to play a role in regulating gene expression and RNA processing. Mutations in RSRC2 have been associated with certain types of cancer, including breast and ovarian cancer. Further research is needed to fully understand the role of RSRC2 in human biology and disease.","There is limited information available on the disease implications of RSRC2, but mutations in this gene have been associated with certain types of cancer, including breast and ovarian cancer. Targeted drug discovery efforts for RSRC2 are also limited, as the exact function of the protein is not fully understood. However, there are ongoing efforts to develop drugs that target RNA binding proteins, which may have potential therapeutic applications for cancer and other diseases. One example of a successful drug targeting RNA binding proteins is Onvansertib, which is currently in clinical trials for the treatment of various types of cancer. Onvansertib targets the protein PLK1, which is involved in RNA processing and has been implicated in cancer progression. Further research is needed to determine if targeting RSRC2 or other RNA binding proteins could be a viable therapeutic strategy for cancer and other diseases.",,,Predicted intracellular proteins,Nuclear speckles (Approved); Additional: Cytosol;Nucleoli fibrillar center,,,
ENSG00000169398.19,ENSG00000169398,PTK2,-0.666034294,-0.994998773,-0.639952202,-0.363151906,protein tyrosine kinase 2,"PTK2, also known as protein tyrosine kinase 2, is a gene that encodes a cytoplasmic protein tyrosine kinase found in focal adhesions between cells growing in the presence of extracellular matrix constituents. It is a member of the FAK subfamily of protein tyrosine kinases and is activated in response to certain neural peptides or cell interactions with the extracellular matrix. PTK2 is an important early step in cell growth and intracellular signal transduction pathways. The gene has several transcript variants that encode different isoforms.","PTK2 has been implicated in various diseases, including cancer, cardiovascular diseases, and neurological disorders. In cancer, PTK2 is often overexpressed and plays a critical role in tumor growth, invasion, and metastasis. Therefore, PTK2 has been identified as a potential therapeutic target for cancer treatment. Several small molecule inhibitors targeting PTK2 have been developed and are currently in clinical trials, including VS-6063, PF-562,271, and GSK2256098. These inhibitors have shown promising results in preclinical studies and early-phase clinical trials.

In addition to cancer, PTK2 has also been implicated in cardiovascular diseases, such as atherosclerosis and heart failure. PTK2 inhibitors have been shown to reduce inflammation and improve cardiac function in animal models of heart failure. However, there are currently no PTK2 inhibitors approved for the treatment of cardiovascular diseases.

In neurological disorders, PTK2 has been implicated in the pathogenesis of Alzheimer's disease and Parkinson's disease. PTK2 inhibitors have been shown to reduce neuroinflammation and improve cognitive function in animal models of Alzheimer's disease. However, there are currently no PTK2 inhibitors approved for the treatment of neurological disorders.

Overall, PTK2 is an important therapeutic target for various diseases, particularly cancer. Several PTK2 inhibitors are currently in clinical trials, and more research is needed to fully understand the potential of PTK2 as a therapeutic target for other diseases.",GO:0120041 positive regulation of macrophage proliferation;GO:0035995 detection of muscle stretch;GO:0120040 regulation of macrophage proliferation,yes,Kinases:Tyr protein kinases; Predicted intracellular proteins; ENZYME proteins:Transferases; Potential drug targets; Disease related genes; Enzymes; Cancer-related genes:Candidate cancer biomarkers,Focal adhesion sites (Supported); Additional: Cytosol;Primary cilium;Primary cilium tip;Vesicles,"Endostatin; 7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE; 2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE; Fostamatinib",(M273)PID EPHA2 FWD PATHWAY; (M125)PID IGF1 PATHWAY; (M72)PID NECTIN PATHWAY,(M5944)HALLMARK ANGIOGENESIS; (M5902)HALLMARK APOPTOSIS; (M5915)HALLMARK APICAL JUNCTION
ENSG00000138069.18,ENSG00000138069,RAB1A,-0.665077003,-0.899086343,-0.743106682,-0.353037983,"RAB1A, member RAS oncogene family",RAB1A is a gene that belongs to the Ras superfamily of GTPases. It regulates the movement of vesicles from the endoplasmic reticulum to the Golgi apparatus. The gene has multiple alternatively spliced transcript variants that encode different protein isoforms.,"Research has shown that RAB1A may play a role in various diseases, including cancer, neurodegenerative disorders, and infectious diseases. In cancer, RAB1A has been found to be overexpressed in several types of tumors, including lung, breast, and pancreatic cancer, and may contribute to tumor growth and metastasis. Targeted drug discovery efforts have focused on developing inhibitors of RAB1A to treat cancer and other diseases. One example is Brefeldin A, a natural product that inhibits RAB1A and has been shown to have anti-cancer activity in preclinical studies. Another example is ML141, a small molecule inhibitor of RAB1A that has shown promise in treating neurodegenerative diseases such as Parkinson's and Huntington's disease. While there are currently no drugs on the market that specifically target RAB1A, ongoing research suggests that it may be a promising target for the development of new therapies.",GO:0030252 growth hormone secretion;GO:0090110 COPII-coated vesicle cargo loading;GO:0032402 melanosome transport,,ENZYME proteins:Hydrolases; Enzymes; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Supported),,(M129)PID PLK1 PATHWAY,(M5924)HALLMARK MTORC1 SIGNALING
ENSG00000038274.17,ENSG00000038274,MAT2B,-0.664817408,-0.870471399,-0.799142026,-0.324838797,methionine adenosyltransferase 2 non-catalytic beta subunit,"MAT2B is a human gene that encodes for the regulatory beta subunit of methionine adenosyltransferase (MAT), which is responsible for catalyzing the biosynthesis of S-adenosylmethionine from methionine and ATP. Alternative splicing of the gene results in the production of multiple transcript variants that encode for different isoforms of the protein.","Dysregulation of MAT2B has been implicated in various diseases, including liver cancer, non-alcoholic fatty liver disease, and alcoholic liver disease. Targeting MAT2B has been explored as a potential therapeutic strategy for these diseases. Several small molecule inhibitors of MAT2B have been developed, including 2-hydroxy-4-methylthiobutanoic acid (HMTBA) and its derivatives. HMTBA has been shown to inhibit MAT2B activity and reduce liver cancer cell growth in vitro and in vivo. Another drug, S-adenosylmethionine (SAMe), is a natural substrate of MAT2B and has been used clinically to treat depression, osteoarthritis, and liver disease. SAMe has been shown to improve liver function and reduce liver damage in patients with alcoholic liver disease and non-alcoholic fatty liver disease. Overall, targeting MAT2B and its downstream metabolite S-adenosylmethionine has shown promise as a therapeutic approach for liver diseases.",GO:0006556 S-adenosylmethionine biosynthetic process;GO:0046500 S-adenosylmethionine metabolic process;GO:0006730 one-carbon metabolic process,,Predicted intracellular proteins,Plasma membrane (Approved),,,
ENSG00000170759.11,ENSG00000170759,KIF5B,-0.664582213,-0.951830816,-0.667798618,-0.374117207,kinesin family member 5B,"KIF5B is a human gene that encodes for a protein belonging to the kinesin family. This protein is involved in various cellular processes, including lysosome localization, natural killer cell mediated cytotoxicity, and positive regulation of protein localization to the plasma membrane. KIF5B has been found to have identical protein binding activity, microtubule binding activity, and microtubule motor activity. It is located in the centriolar satellite, cytosol, and vesicle.","KIF5B has been implicated in various diseases, including cancer and neurodegenerative disorders. In cancer, KIF5B has been found to be involved in the fusion of the ALK gene, leading to the formation of an oncogenic fusion protein that drives the development of certain types of lung cancer. Targeted drug discovery efforts have focused on developing inhibitors of the ALK-KIF5B fusion protein, with crizotinib being the first FDA-approved drug for the treatment of ALK-positive non-small cell lung cancer. Other drugs targeting ALK, such as ceritinib and alectinib, have also been approved for the treatment of ALK-positive lung cancer. In neurodegenerative disorders, KIF5B has been found to be involved in the transport of vesicles containing amyloid precursor protein (APP), which is implicated in the development of Alzheimer's disease. Targeting KIF5B-mediated transport of APP vesicles may provide a potential therapeutic strategy for Alzheimer's disease. However, no drugs targeting KIF5B in neurodegenerative disorders have been approved yet.","GO:0098987 regulation of modification of synapse structure, modulating synaptic transmission;GO:1990048 anterograde neuronal dense core vesicle transport;GO:0140495 migracytosis",,Cancer-related genes; Transporters:Transporter channels and pores; Predicted intracellular proteins,Centriolar satellite;Cytosol (Supported); Additional: End piece,,(M266)PID NCADHERIN PATHWAY,(M5922)HALLMARK UNFOLDED PROTEIN RESPONSE; (M5893)HALLMARK MITOTIC SPINDLE; (M5901)HALLMARK G2M CHECKPOINT
ENSG00000185129.8,ENSG00000185129,PURA,-0.663964402,-0.420353672,-0.663142359,-0.908397176,purine rich element binding protein A,"The PURA gene encodes a protein called purine-rich element binding protein A, which is a single-stranded DNA-binding protein that binds to the purine-rich element (PUR) present in the origins of replication and gene flanking regions in various eukaryotes, including humans. This protein is involved in regulating both DNA replication and transcription. Deletion of the PURA gene has been linked to myelodysplastic syndrome and acute myelogenous leukemia.","The PURA gene has been implicated in several diseases, including myelodysplastic syndrome and acute myelogenous leukemia. In these diseases, mutations in the PURA gene can lead to abnormal cell growth and proliferation. Targeted drug discovery efforts have focused on developing drugs that can inhibit the activity of the PURA protein, with the goal of slowing or stopping the growth of cancer cells. One example of a successful drug targeting the PURA protein is the small molecule compound NSC-139021, which has been shown to inhibit the binding of PURA to DNA and reduce the growth of cancer cells in vitro. Another potential drug target is the interaction between PURA and the protein p53, which is often mutated in cancer. Inhibition of this interaction could lead to increased sensitivity of cancer cells to chemotherapy. Overall, targeting the PURA gene and its protein product shows promise as a potential therapeutic strategy for cancer treatment.",GO:0098963 dendritic transport of messenger ribonucleoprotein complex;GO:0098935 dendritic transport;GO:0006268 DNA unwinding involved in DNA replication,,Transcription factors:Yet undefined DNA-binding domains; Predicted intracellular proteins; Human disease related genes:Other diseases:Mental and behavioural disorders; Disease related genes; Cancer-related genes:Candidate cancer biomarkers,,,,(M5901)HALLMARK G2M CHECKPOINT
ENSG00000117758.14,ENSG00000117758,STX12,-0.663958122,-1.081419271,-0.763411848,-0.147043246,syntaxin 12,"The human gene STX12, also known as syntaxin 12, is predicted to have SNAP receptor activity and SNARE binding activity. It is involved in autophagosome assembly, cholesterol efflux, and protein stabilization. The gene is located in several cellular components, including membrane raft, phagocytic vesicle, and phagophore assembly site. It is part of the SNARE complex and colocalizes with the BLOC-1 complex. These findings suggest that STX12 plays an important role in various cellular processes and may have potential implications in disease research.","There is limited information available on the disease implications of STX12. However, some studies have suggested that mutations in the gene may be associated with certain neurological disorders, such as Parkinson's disease and Alzheimer's disease. Targeted drug discovery efforts for STX12 are also limited, but some studies have explored the potential of small molecule inhibitors of the SNARE complex as a therapeutic strategy for neurodegenerative diseases. Currently, there are no drugs on the market that specifically target STX12. However, there are drugs that target other components of the SNARE complex, such as botulinum toxin, which is used to treat muscle spasms and wrinkles, and tetrodotoxin, which is used as a local anesthetic.",GO:0033344 cholesterol efflux;GO:0048278 vesicle docking;GO:0030301 cholesterol transport,,Predicted intracellular proteins,Golgi apparatus;Nucleoplasm;Vesicles (Enhanced),,,(M5910)HALLMARK PROTEIN SECRETION
